Niger,47.28,
Angola,42.22,
Mali,41.6,
Uganda,41.6,
Benin,41.55,
Chad,41.05,
"Congo, Democratic Republic of the",40.53,
South Sudan,38.26,
Somalia,38.25,
Mozambique,38.03,
Liberia,36.96,
Guinea-Bissau,36.64,
Afghanistan,36.08,
Cameroon,35.91,
Guinea,35.86,
Burundi,35.48,
Zambia,35.23,
Sierra Leone,35.04,
Nigeria,34.38,
Burkina Faso,34.34,
Tanzania,33.71,
Sudan,33.63,
Zimbabwe,33.34,
Central African Republic,33.2,
Togo,32.34,
"Congo, Republic of the",32.15,
Timor-Leste,31.45,
Senegal,31.31,
Ethiopia,31.03,
Equatorial Guinea,30.09,
Madagascar,29.22,
Ghana,29.08,
Sao Tome and Principe,28.94,
Cote d'Ivoire,28.67,
Malawi,28.59,
Mauritania,28.49,
Gaza Strip,28.1,
Eritrea,27.41,
Rwanda,27.18,
Pakistan,26.95,
Kenya,26.78,
Egypt,26.44,
"Gambia, The",26.42,
Gabon,26.14,
Namibia,25.33,
Iraq,25.21,
Yemen,25.21,
West Bank,24.8,
Eswatini,23.87,
Lesotho,23.3,
Syria,23.25,
Solomon Islands,23.07,
Comoros,22.98,
Tuvalu,22.97,
Guatemala,22.79,
Jordan,22.79,
Laos,22.74,
Philippines,22.66,
Oman,22.58,
Djibouti,22.43,
Marshall Islands,22.42,
Libya,22.23,
Papua New Guinea,22.08,
Vanuatu,21.95,
Belize,21.62,
Nauru,21.49,
Haiti,21.4,
Tajikistan,21.22,
Cambodia,20.84,
Botswana,20.6,
Tonga,20.6,
Bolivia,20.36,
Kiribati,20.27,
Kyrgyzstan,20.06,
Samoa,19.32,
Algeria,19.24,
South Africa,18.89,
Cabo Verde,18.78,
Guam,18.76,
"Micronesia, Federated States of",18.65,
Dominican Republic,18.24,
El Salvador,18.22,
Honduras,18.19,
Kuwait,17.9,
Bangladesh,17.88,
Turkmenistan,17.85,
Nepal,17.78,
Morocco,17.58,
Venezuela,17.55,
India,17.53,
Israel,17.52,
Mexico,17.29,
American Samoa,17.19,
Fiji,16.9,
Ecuador,16.71,
Nicaragua,16.71,
Panama,16.67,
Peru,16.67,
Burma,16.65,
Guyana,16.64,
Colombia,16.51,
Paraguay,16.43,
Mongolia,16.32,
Brunei,16.3,
Bhutan,16.17,
Vietnam,16.04,
Jamaica,16.03,
Kazakhstan,15.87,
Uzbekistan,15.85,
Argentina,15.8,
Iran,15.78,
Maldives,15.69,
Indonesia,15.59,
Northern Mariana Islands,15.31,
Antigua and Barbuda,15.3,
Tunisia,15.21,
Kosovo,15.05,
Faroe Islands,14.92,
"Bahamas, The",14.78,
Malaysia,14.72,
Suriname,14.7,
Saudi Arabia,14.56,
Turkey,14.54,
Costa Rica,14.53,
"Korea, North",14.35,
New Caledonia,14.28,
Grenada,14.27,
Saint Martin,14.2,
Dominica,14.16,
Azerbaijan,14.03,
Sri Lanka,14.01,
Gibraltar,13.99,
Greenland,13.88,
Turks and Caicos Islands,13.86,
French Polynesia,13.69,
Brazil,13.44,
Lebanon,13.35,
Curacao,13.29,
Iceland,13.12,
Chile,12.92,
Albania,12.86,
Cook Islands,12.85,
New Zealand,12.83,
Sint Maarten,12.75,
Uruguay,12.75,
Seychelles,12.63,
Ireland,12.6,
Bahrain,12.5,
Wallis and Futuna,12.49,
Jersey,12.46,
Mauritius,12.44,
Saint Vincent and the Grenadines,12.44,
Saint Kitts and Nevis,12.43,
Australia,12.35,
United States,12.33,
Saint Lucia,12.27,
Anguilla,12.12,
Norway,12.09,
Aruba,11.95,
Sweden,11.93,
Virgin Islands,11.84,
Cayman Islands,11.77,
France,11.77,
United Kingdom,11.77,
Luxembourg,11.62,
Palau,11.47,
Armenia,11.45,
Montenegro,11.35,
China,11.3,
Georgia,11.26,
Denmark,11.17,
Montserrat,11.14,
Trinidad and Tobago,11.12,
Bermuda,11.1,
Belgium,11.03,
British Virgin Islands,10.98,
Netherlands,10.98,
Barbados,10.96,
Falkland Islands (Islas Malvinas),10.9,
United Arab Emirates,10.87,
Cyprus,10.76,
Isle of Man,10.69,
Finland,10.49,
Moldova,10.45,
Switzerland,10.41,
Liechtenstein,10.35,
Cuba,10.25,
Thailand,10.25,
Canada,10.21,
Malta,9.84,
Guernsey,9.77,
Russia,9.71,
Austria,9.48,
Lithuania,9.42,
Macau,9.41,
Qatar,9.38,
"Saint Helena, Ascension, and Tristan da Cunha",9.35,
Belarus,9.32,
Saint Barthelemy,9.27,
Ukraine,9.23,
Singapore,9.13,
Slovakia,9.1,
Estonia,9.03,
Latvia,8.96,
San Marino,8.76,
Czechia,8.75,
Serbia,8.74,
Hungary,8.72,
Poland,8.69,
Croatia,8.68,
Germany,8.63,
Bosnia and Herzegovina,8.5,
Slovenia,8.5,
Romania,8.39,
Italy,8.37,
Hong Kong,8.23,
Bulgaria,8.15,
Spain,8.05,
Portugal,8.02,
Puerto Rico,7.9,
Greece,7.72,
Taiwan,7.43,
Japan,7,
Andorra,6.91,
"Korea, South",6.89,
Monaco,6.63,
Saint Pierre and Miquelon,6.58,
